,1B,2B,3B,C,OF1,OF2,OF3,P1,P2,SS,TotalPoints,TotalOwnership
0,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.59,98.1
1,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Willson_Contreras_CHC,Joc_Pederson_SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.39000000000001,99.80000000000001
2,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Willson_Contreras_CHC,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.26000000000002,100.0
3,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,Manny_Machado_SD,Kyle_Higashioka_NYY,Joc_Pederson_SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.15,97.69999999999999
4,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,Manny_Machado_SD,Kyle_Higashioka_NYY,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.02000000000001,97.9
5,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Ian_Happ_CHC,Joc_Pederson_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.85000000000002,98.30000000000001
6,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Ian_Happ_CHC,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.72,98.5
7,Anthony_Rizzo_NYY,Christopher_Morel_CHC,Matt_Carpenter_NYY,Willson_Contreras_CHC,Joc_Pederson_SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,93.62,99.6
8,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,David_Villar_SF,Willson_Contreras_CHC,Aaron_Hicks_NYY,Joc_Pederson_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.52000000000001,99.20000000000002
9,Anthony_Rizzo_NYY,Christopher_Morel_CHC,Matt_Carpenter_NYY,Jorge_Alfaro_SD,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.42000000000002,98.79999999999998
10,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,David_Villar_SF,Kyle_Higashioka_NYY,Joc_Pederson_SF,Luis_Gonzalez_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.32000000000002,97.6
11,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Ian_Happ_CHC,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,93.22,98.5
12,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Jose_Azocar_SD,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.12,99.6
13,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,Matt_Carpenter_NYY,Kyle_Higashioka_NYY,Joc_Pederson_SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Brandon_Crawford_SF,93.02,100.00000000000001
14,Anthony_Rizzo_NYY,Christopher_Morel_CHC,Matt_Carpenter_NYY,Austin_Wynns_SF,Joc_Pederson_SF,Luis_Gonzalez_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,92.92000000000002,99.9
15,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,Matt_Carpenter_NYY,Austin_Wynns_SF,Julio_Rodriguez_SEA,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,92.82000000000002,97.5
16,Anthony_Rizzo_NYY,Wilmer_Flores_SF,David_Villar_SF,Willson_Contreras_CHC,Aaron_Hicks_NYY,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Yu_Darvish_SD,Isiah_Kiner-Falefa_NYY,92.72,99.6
17,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,P.J._Higgins_CHC,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,92.62,98.6
18,Anthony_Rizzo_NYY,Wilmer_Flores_SF,David_Villar_SF,Kyle_Higashioka_NYY,Ian_Happ_CHC,Joc_Pederson_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,92.52000000000001,98.20000000000002
19,Brandon_Belt_SF,Adam_Frazier_SEA,Matt_Carpenter_NYY,Kyle_Higashioka_NYY,Joc_Pederson_SF,Julio_Rodriguez_SEA,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,92.42000000000002,98.4
20,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Kyle_Higashioka_NYY,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Robbie_Ray_SEA,Dylan_Moore_SEA,92.32000000000001,98.8
21,Ty_France_SEA,Adam_Frazier_SEA,David_Villar_SF,Kyle_Higashioka_NYY,Giancarlo_Stanton_NYY,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,92.22,100.0
22,Anthony_Rizzo_NYY,Christopher_Morel_CHC,David_Villar_SF,Kyle_Higashioka_NYY,Alex_Verdugo_BOS,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,92.12,96.1
23,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Austin_Wynns_SF,Ian_Happ_CHC,Julio_Rodriguez_SEA,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,92.02000000000001,98.1
24,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Austin_Wynns_SF,Jose_Azocar_SD,Julio_Rodriguez_SEA,Luis_Gonzalez_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,91.92000000000002,99.19999999999999
25,Brandon_Belt_SF,Santiago_Espinal_TOR,Manny_Machado_SD,Kyle_Higashioka_NYY,Aaron_Hicks_NYY,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,91.82,99.5
26,Ty_France_SEA,Gleyber_Torres_NYY,Matt_Carpenter_NYY,P.J._Higgins_CHC,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,91.72,99.6
27,Brandon_Belt_SF,Santiago_Espinal_TOR,Matt_Carpenter_NYY,Kyle_Higashioka_NYY,Julio_Rodriguez_SEA,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,91.62,97.19999999999999
28,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Josh_Donaldson_NYY,Kyle_Higashioka_NYY,Jose_Azocar_SD,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Dylan_Moore_SEA,91.52,98.89999999999999
29,Anthony_Rizzo_NYY,Wilmer_Flores_SF,David_Villar_SF,Kyle_Higashioka_NYY,Jose_Azocar_SD,LaMonte_Wade_Jr._SF,Lourdes_Gurriel_Jr._TOR,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,91.42000000000002,98.6
30,Brandon_Belt_SF,Wilmer_Flores_SF,Matt_Carpenter_NYY,Jorge_Alfaro_SD,Giancarlo_Stanton_NYY,Jose_Azocar_SD,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,91.32,98.9
